Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
DDX41	DDX41: MUT AMP HOMDEL;	9	2.5%
BRCC3	BRCC3: MUT AMP HOMDEL;	9	2.5%
CDK12	CDK12: MUT AMP HOMDEL;	9	2.5%
GABARAP	GABARAP: MUT AMP HOMDEL;	9	2.5%
ASB15	ASB15: MUT AMP HOMDEL;	9	2.5%
CALD1	CALD1: MUT AMP HOMDEL;	9	2.5%
EPC1	EPC1: MUT AMP HOMDEL;	9	2.5%
COPZ2	COPZ2: MUT AMP HOMDEL;	9	2.5%
CEP192	CEP192: MUT AMP HOMDEL;	9	2.5%
FKBP1B	FKBP1B: MUT AMP HOMDEL;	9	2.5%
CENPS	CENPS: MUT AMP HOMDEL;	9	2.5%
BLM	BLM: MUT AMP HOMDEL;	9	2.5%
ERCC4	ERCC4: MUT AMP HOMDEL;	9	2.5%
COMMD2	COMMD2: MUT AMP HOMDEL;	9	2.5%
FBXL3	FBXL3: MUT AMP HOMDEL;	9	2.5%
HDAC4	HDAC4: MUT AMP HOMDEL;	8	2.2%
AHCY	AHCY: MUT AMP HOMDEL;	8	2.2%
ARPC1A	ARPC1A: MUT AMP HOMDEL;	8	2.2%
EGF	EGF: MUT AMP HOMDEL;	8	2.2%
DDB1	DDB1: MUT AMP HOMDEL;	8	2.2%
DNAJA2	DNAJA2: MUT AMP HOMDEL;	8	2.2%
ATF2	ATF2: MUT AMP HOMDEL;	8	2.2%
CHD4	CHD4: MUT AMP HOMDEL;	8	2.2%
ERAL1	ERAL1: MUT AMP HOMDEL;	8	2.2%
BET1	BET1: MUT AMP HOMDEL;	8	2.2%
H2AB1	H2AB1: MUT AMP HOMDEL;	8	2.2%
BUD31	BUD31: MUT AMP HOMDEL;	8	2.2%
CDC40	CDC40: MUT AMP HOMDEL;	8	2.2%
CTNNBL1	CTNNBL1: MUT AMP HOMDEL;	8	2.2%
BAZ1B	BAZ1B: MUT AMP HOMDEL;	8	2.2%
GTPBP4	GTPBP4: MUT AMP HOMDEL;	8	2.2%
CC2D2A	CC2D2A: MUT AMP HOMDEL;	8	2.2%
ELL2	ELL2: MUT AMP HOMDEL;	8	2.2%
ELL	ELL: MUT AMP HOMDEL;	8	2.2%
GTF2H5	GTF2H5: MUT AMP HOMDEL;	8	2.2%
EIF4ENIF1	EIF4ENIF1: MUT AMP HOMDEL;	8	2.2%
ASB4	ASB4: MUT AMP HOMDEL;	8	2.2%
ANAPC1	ANAPC1: MUT AMP HOMDEL;	8	2.2%
DHX37	DHX37: MUT AMP HOMDEL;	8	2.2%
GFM2	GFM2: MUT AMP HOMDEL;	8	2.2%
FBXL16	FBXL16: MUT AMP HOMDEL;	8	2.2%
DDX3X	DDX3X: MUT AMP HOMDEL;	7	1.9%
DNAJB1	DNAJB1: MUT AMP HOMDEL;	7	1.9%
COMMD3	COMMD3: MUT AMP HOMDEL;	7	1.9%
CPSF2	CPSF2: MUT AMP HOMDEL;	7	1.9%
FNBP1	FNBP1: MUT AMP HOMDEL;	7	1.9%
HBEGF	HBEGF: MUT AMP HOMDEL;	7	1.9%
BASP1	BASP1: MUT AMP HOMDEL;	7	1.9%
DHX15	DHX15: MUT AMP HOMDEL;	7	1.9%
CHEK1	CHEK1: MUT AMP HOMDEL;	7	1.9%
CTDP1	CTDP1: MUT AMP HOMDEL;	7	1.9%
COPB2	COPB2: MUT AMP HOMDEL;	7	1.9%
DCTN2	DCTN2: MUT AMP HOMDEL;	7	1.9%
CNTRL	CNTRL: MUT AMP HOMDEL;	7	1.9%
COPS3	COPS3: MUT AMP HOMDEL;	7	1.9%
CIRBP	CIRBP: MUT AMP HOMDEL;	7	1.9%
GTF2F2	GTF2F2: MUT AMP HOMDEL;	7	1.9%
BRD8	BRD8: MUT AMP HOMDEL;	7	1.9%
CSTF1	CSTF1: MUT AMP HOMDEL;	7	1.9%
COPE	COPE: MUT AMP HOMDEL;	7	1.9%
CEP41	CEP41: MUT AMP HOMDEL;	7	1.9%
COPRS	COPRS: MUT AMP HOMDEL;	7	1.9%
GFM1	GFM1: MUT AMP HOMDEL;	7	1.9%
ELOA	ELOA: MUT AMP HOMDEL;	7	1.9%
EIF3L	EIF3L: MUT AMP HOMDEL;	7	1.9%
DIAPH2	DIAPH2: MUT AMP HOMDEL;	7	1.9%
BCL9L	BCL9L: MUT AMP HOMDEL;	7	1.9%
CWC25	CWC25: MUT AMP HOMDEL;	7	1.9%
GPATCH1	GPATCH1: MUT AMP HOMDEL;	7	1.9%
CD28	CD28: MUT AMP HOMDEL;	7	1.9%
FBXW10	FBXW10: MUT AMP HOMDEL;	7	1.9%
FIP1L1	FIP1L1: MUT AMP HOMDEL;	6	1.6%
GEMIN8	GEMIN8: MUT AMP HOMDEL;	6	1.6%
AMPD3	AMPD3: MUT AMP HOMDEL;	6	1.6%
ARRB1	ARRB1: MUT AMP HOMDEL;	6	1.6%
CLTB	CLTB: MUT AMP HOMDEL;	6	1.6%
CEP57	CEP57: MUT AMP HOMDEL;	6	1.6%
DDX52	DDX52: MUT AMP HOMDEL;	6	1.6%
EBNA1BP2	EBNA1BP2: MUT AMP HOMDEL;	6	1.6%
CLASP2	CLASP2: MUT AMP HOMDEL;	6	1.6%
CLASP1	CLASP1: MUT AMP HOMDEL;	6	1.6%
CPSF6	CPSF6: MUT AMP HOMDEL;	6	1.6%
FBXL18	FBXL18: MUT AMP HOMDEL;	6	1.6%
DDX39A	DDX39A: MUT AMP HOMDEL;	6	1.6%
COPG2	COPG2: MUT AMP HOMDEL;	6	1.6%
ERCC3	ERCC3: MUT AMP HOMDEL;	6	1.6%
FAU	FAU: MUT AMP HOMDEL;	6	1.6%
EPB41L5	EPB41L5: MUT AMP HOMDEL;	6	1.6%
EIF4H	EIF4H: MUT AMP HOMDEL;	6	1.6%
CCNF	CCNF: MUT AMP HOMDEL;	6	1.6%
DHX35	DHX35: MUT AMP HOMDEL;	6	1.6%
POLR1G	POLR1G: MUT AMP HOMDEL;	6	1.6%
FRS2	FRS2: MUT AMP HOMDEL;	6	1.6%
CATSPER3	CATSPER3: MUT AMP HOMDEL;	6	1.6%
FLT3LG	FLT3LG: MUT AMP HOMDEL;	6	1.6%
CENPW	CENPW: MUT AMP HOMDEL;	6	1.6%
CATSPERB	CATSPERB: MUT AMP HOMDEL;	6	1.6%
FBXW2	FBXW2: MUT AMP HOMDEL;	6	1.6%
