Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
LYSMD1		1q21.3	AMP	1	70	1.4%	No
HMGA2		12q14.3	AMP	1	70	1.4%	Yes
SMG6		17p13.3	HOMDEL	1	70	1.4%	No
SNORD114-19		14q32.31	AMP	1	70	1.4%	No
LINC00892		Xq26.3	AMP	1	70	1.4%	No
SPTLC2		14q24.3	AMP	1	70	1.4%	No
ZNF839		14q32.31	AMP	1	70	1.4%	No
RLN3		19p13.12	HOMDEL	1	70	1.4%	No
INTS6L		Xq26.3	AMP	1	70	1.4%	No
HID1		17q25.1	AMP	3	70	4.3%	No
PDCD6P1		5p15.33	HOMDEL	1	70	1.4%	No
CACNA1A		19p13.13	HOMDEL	1	70	1.4%	No
MIOX		22q13.33	HOMDEL	2	70	2.9%	No
ANAPC2		9q34.3	HOMDEL	1	70	1.4%	No
COG3		13q14.13	AMP	1	70	1.4%	No
TONSL-AS1		8q24.3	AMP	1	70	1.4%	No
SOX9		17q24.3	AMP	2	70	2.9%	Yes
SNORD114-18		14q32.31	AMP	1	70	1.4%	No
CCND2		12p13.32	AMP	1	70	1.4%	Yes
SLIRP		14q24.3	AMP	1	70	1.4%	No
OR6X1		11q24.1	HOMDEL	1	70	1.4%	No
FDPS		1q22	AMP	1	70	1.4%	No
P2RX5		17p13.2	HOMDEL	1	70	1.4%	No
SAGE1		Xq26.3	AMP	1	70	1.4%	No
OR8D2		11q24.2	HOMDEL	1	70	1.4%	No
LITAF		16p13.13	AMP	2	70	2.9%	No
RBMX		Xq26.3	AMP	1	70	1.4%	No
FLI1		11q24.3	HOMDEL	1	70	1.4%	Yes
PLCB3		11q13.1	AMP	1	70	1.4%	No
IDH3G		Xq28	AMP	2	70	2.9%	No
C21ORF140		21q22.12	HOMDEL	1	70	1.4%	No
IL1R1		2q11.2-q12.1	AMP	2	70	2.9%	No
ZNF449		Xq26.3	AMP	1	70	1.4%	No
CDKN2B		9p21.3	HOMDEL	1	70	1.4%	Yes
MEG8		14q32.31	HOMDEL	1	70	1.4%	No
LINC00847		5q35.3	AMP	1	70	1.4%	No
SNORD20		2q37.1	HOMDEL	2	70	2.9%	No
CDC45		22q11.21	AMP	1	70	1.4%	No
PRDM8		4q21.21	AMP	1	70	1.4%	No
LINC02111		5p15.1	AMP	4	70	5.7%	No
FGF10-AS1		5p12	AMP	4	70	5.7%	No
TCF19		6p21.33	HOMDEL	1	70	1.4%	No
BLK		8p23.1	HOMDEL	1	70	1.4%	No
CA4		17q23.1	AMP	1	70	1.4%	No
BTBD2		19p13.3	AMP	1	70	1.4%	No
SNORD114-21		14q32.31	AMP	1	70	1.4%	No
TRPV4		12q24.11	AMP	1	70	1.4%	No
HRNR		1q21.3	AMP	1	70	1.4%	No
REEP4		8p21.3	HOMDEL	2	70	2.9%	No
LINC00381		13q22.1	HOMDEL	1	70	1.4%	No
RAB30		11q14.1	AMP	2	70	2.9%	No
HAUS2		15q15.2	HOMDEL	2	70	2.9%	No
PPARA		22q13.31	AMP	2	70	2.9%	No
SLC19A2		1q24.2	AMP	1	70	1.4%	No
ERVV-2		19q13.41	HOMDEL	1	70	1.4%	No
NUP88		17p13.2	HOMDEL	1	70	1.4%	No
FADS6		17q25.1	AMP	3	70	4.3%	No
PIP5K1C		19p13.3	AMP	1	70	1.4%	No
PRDM9		5p14.2	AMP	4	70	5.7%	No
ATG2A		11q13.1	AMP	1	70	1.4%	No
ZC3H14		14q31.3	HOMDEL	1	70	1.4%	No
VPS53		17p13.3	HOMDEL	1	70	1.4%	No
QTRT1		19p13.3	AMP	1	70	1.4%	No
WASH3P		15q26.3	AMP	1	70	1.4%	No
TANC2		17q23.2-q23.3	AMP	1	70	1.4%	No
LINC02067		3q26.1	AMP	6	70	8.6%	No
NPR3		5p13.3	AMP	5	70	7.1%	No
SLC6A3		5p15.33	AMP	3	70	4.3%	No
LINC00612		12p13.31	AMP	1	70	1.4%	No
PLPP6		9p24.1	AMP	1	70	1.4%	No
STT3A		11q24.2	HOMDEL	1	70	1.4%	No
TDP1		14q32.11	AMP	1	70	1.4%	No
GLTPD2		17p13.2	HOMDEL	1	70	1.4%	No
SNORD114-20		14q32.31	AMP	1	70	1.4%	No
FLG2		1q21.3	AMP	1	70	1.4%	No
ACSBG2		19p13.3	HOMDEL	2	70	2.9%	No
RPL23AP53		8p23.3	HOMDEL	1	70	1.4%	No
LINC01987		17q25.3	AMP	2	70	2.9%	No
CFAP45		1q23.2	AMP	1	70	1.4%	No
ZBTB16		11q23.2	HOMDEL	1	70	1.4%	Yes
KAT6A		8p11.21	AMP	2	70	2.9%	Yes
BTBD6		14q32.33	HOMDEL	1	70	1.4%	No
LOC389895		Xq27.1	AMP	1	70	1.4%	No
SUMO1P3		1q23.2	AMP	1	70	1.4%	No
CD3E		11q23.3	HOMDEL	1	70	1.4%	No
NFIX		19p13.13	HOMDEL	1	70	1.4%	No
LRG1		19p13.3	HOMDEL	2	70	2.9%	No
FXYD6-FXYD2		11q23.3	HOMDEL	1	70	1.4%	No
LINGO2		9p21.2-p21.1	AMP	1	70	1.4%	No
RABAC1		19q13.2	AMP	2	70	2.9%	No
SGPP2		2q36.1	HOMDEL	1	70	1.4%	No
S1PR2		19p13.2	AMP	1	70	1.4%	Yes
SNORD114-15		14q32.31	AMP	1	70	1.4%	No
GJD3		17q21.2	HOMDEL	1	70	1.4%	No
GPR55		2q37.1	HOMDEL	2	70	2.9%	No
NBPF9		1q21.2	AMP	1	70	1.4%	No
LINC00111		21q22.3	AMP	1	70	1.4%	No
IKBKB		8p11.21	AMP	2	70	2.9%	Yes
ARSG		17q24.2	AMP	1	70	1.4%	No
VGLL4		3p25.3-p25.2	HOMDEL	1	70	1.4%	No
FGF13-AS1		Xq26.3	HOMDEL	1	70	1.4%	No
ENDOV		17q25.3	HOMDEL	1	70	1.4%	No
ITGA9		3p22.2	HOMDEL	1	70	1.4%	No
PDCD1		2q37.3	HOMDEL	2	70	2.9%	Yes
EXOC7		17q25.1	AMP	3	70	4.3%	No
TRMT61A		14q32.33	AMP	1	70	1.4%	No
EOLA1		Xq28	AMP	2	70	2.9%	No
SNORD114-14		14q32.31	AMP	1	70	1.4%	No
CDC42EP2		11q13.1	AMP	1	70	1.4%	No
NPR1		1q21.3	AMP	1	70	1.4%	No
PID1		2q36.3	HOMDEL	1	70	1.4%	No
WDR20		14q32.31	AMP	1	70	1.4%	No
BGLAP		1q22	AMP	1	70	1.4%	No
SEL1L		14q31	AMP	1	70	1.4%	No
OAF		11q23.3	HOMDEL	1	70	1.4%	No
CPSF4L		17q25.1	AMP	2	70	2.9%	No
SENP1		12q13.11	AMP	1	70	1.4%	No
LINC02591		1q21.1	AMP	1	70	1.4%	No
UBE2E4P		Xp22.2	AMP	2	70	2.9%	No
PFDN2		1q23.3	AMP	1	70	1.4%	No
ZNF358		19p13.2	HOMDEL	1	70	1.4%	No
PACRG-AS2		6q26	HOMDEL	1	70	1.4%	No
ZNF177		19p13.2	AMP	1	70	1.4%	No
LINC00926		15q21.3	HOMDEL	2	70	2.9%	No
ZC3H7B		22q13.2	AMP	1	70	1.4%	No
RABL3		3q13.33	AMP	3	70	4.3%	No
ATP8B4		15q21.2	HOMDEL	2	70	2.9%	No
LMX1A		1q23.3	AMP	1	70	1.4%	No
CACNG4		17q24.2	AMP	1	70	1.4%	No
CT45A2		Xq26.3	HOMDEL	1	70	1.4%	No
SELE		1q24.2	AMP	1	70	1.4%	No
NANOS3		19p13.12	HOMDEL	1	70	1.4%	No
IRX5		16q12.2	HOMDEL	1	70	1.4%	No
BGN		Xq28	AMP	2	70	2.9%	No
SNORD114-17		14q32.31	AMP	1	70	1.4%	No
GPR89B		1q21.2	AMP	1	70	1.4%	No
ADAL		15q15.3	HOMDEL	2	70	2.9%	No
FCRL1		1q23.1	AMP	1	70	1.4%	No
MSANTD4		11q22.3	HOMDEL	1	70	1.4%	No
LINC01558		6q27	HOMDEL	1	70	1.4%	No
UBQLN2		Xp11.21	AMP	1	70	1.4%	No
GABPB1		15q21.2	HOMDEL	2	70	2.9%	No
MIR100HG		11q24.1	HOMDEL	1	70	1.4%	No
ALG12		22q13.33	AMP	1	70	1.4%	No
ZNF180		19q13.31	AMP	5	70	7.1%	No
TSEN54		17q25.1	AMP	4	70	5.7%	No
IDH1		2q34	HOMDEL	1	70	1.4%	Yes
SNORD1C		17q25.1	AMP	2	70	2.9%	No
CKB		14q32.33	AMP	1	70	1.4%	No
DENND6A		3p14.3	HOMDEL	2	70	2.9%	No
LCN12		9q34.3	HOMDEL	1	70	1.4%	No
CACNG5		17q24.2	AMP	1	70	1.4%	No
SLC6A8		Xq28	AMP	2	70	2.9%	No
DLL1		6q27	AMP	1	70	1.4%	No
CEACAM1		19q13.2	AMP	2	70	2.9%	No
SELL		1q24.2	AMP	1	70	1.4%	No
FCRL4		1q23.1	AMP	1	70	1.4%	Yes
AKAP3		12p13.32	AMP	1	70	1.4%	No
SNORD114-16		14q32.31	AMP	1	70	1.4%	No
ZSWIM8		10q22.2	HOMDEL	1	70	1.4%	No
CFAP44		3q13.2	AMP	3	70	4.3%	No
KCNIP4		4p15.31-p15.2	HOMDEL	1	70	1.4%	No
LINC01284		Xp11.22	AMP	1	70	1.4%	No
CD99L2		Xq28	HOMDEL	1	70	1.4%	No
ZFAND2A		7p22.3	AMP	1	70	1.4%	No
MGAT5B		17q25.2	AMP	2	70	2.9%	No
ZNF426		19p13.2	AMP	1	70	1.4%	No
ZBTB37		1q25.1	AMP	1	70	1.4%	No
EVC2		4p16.2	HOMDEL	1	70	1.4%	No
LINC00698		3p14.2	HOMDEL	1	70	1.4%	No
C1QTNF1		17q25.3	HOMDEL	1	70	1.4%	No
PLD1		3q26.31	AMP	10	70	14.3%	No
CHAC1		15q15.1	HOMDEL	2	70	2.9%	No
RCOR1		14q32.31	HOMDEL	1	70	1.4%	No
RUFY3		4q13.3	AMP	1	70	1.4%	No
PHF8		Xp11.22	AMP	1	70	1.4%	No
MBD4		3q21.3	AMP	4	70	5.7%	No
PRICKLE3		Xp11.23	AMP	2	70	2.9%	No
LINC00239		14q32.31	AMP	1	70	1.4%	No
WDR25		14q32.2	AMP	1	70	1.4%	No
LRRC15		3q29	AMP	10	70	14.3%	No
ADGRE1		19p13.3-p13.2	HOMDEL	1	70	1.4%	No
MORC2-AS1		22q12.2	AMP	1	70	1.4%	No
IDH2		15q26.1	AMP	1	70	1.4%	Yes
NACC2		9q34.3	HOMDEL	1	70	1.4%	No
RBP2		3q23	AMP	3	70	4.3%	No
MAB21L4		2q37.3	HOMDEL	2	70	2.9%	No
SNORD114-19		14q32.31	HOMDEL	1	70	1.4%	No
TMEM91		19q13.2	AMP	2	70	2.9%	No
ZNF561		19p13.2	AMP	1	70	1.4%	No
C5ORF64		5q12.1	HOMDEL	1	70	1.4%	No
HNRNPL		19q13.2	AMP	3	70	4.3%	No
CYFIP2		5q33.3	AMP	1	70	1.4%	No
C17ORF99		17q25.3	HOMDEL	1	70	1.4%	No
ECM1		1q21.2	AMP	1	70	1.4%	No
GADD45B		19p13.3	AMP	1	70	1.4%	Yes
BICD1		12p11.21	AMP	1	70	1.4%	No
TUBA3FP		22q11.21	AMP	1	70	1.4%	No
PRDM11		11p11.2	AMP	1	70	1.4%	No
TMPRSS2		21q22.3	AMP	1	70	1.4%	Yes
DUSP18		22q12.2	AMP	1	70	1.4%	No
COX19		7p22.3	AMP	1	70	1.4%	No
OR8S1		12q13.11	AMP	1	70	1.4%	No
GAGE2D		Xp11.23	AMP	2	70	2.9%	No
RARA-AS1		17q21.2	HOMDEL	1	70	1.4%	No
FTHL18P		Xp21.1	AMP	1	70	1.4%	No
CHMP6		17q25.3	HOMDEL	1	70	1.4%	No
TSHZ1		18q22.3	HOMDEL	1	70	1.4%	No
DNM2		19p13.2	HOMDEL	1	70	1.4%	Yes
ERMARD		6q27	AMP	1	70	1.4%	No
NBPF6		1p13.3	AMP	1	70	1.4%	No
CKAP5		11p11.2	HOMDEL	1	70	1.4%	No
FETUB		3q27.3	AMP	8	70	11.4%	No
SLC22A31		16q24.3	HOMDEL	1	70	1.4%	No
LMF2		22q13.33	HOMDEL	2	70	2.9%	No
ECT2		3q26.31	AMP	10	70	14.3%	No
TAFA4		3p14.1	HOMDEL	1	70	1.4%	No
SCAND2P		15q25.2	AMP	1	70	1.4%	No
GPR160		3q26.2	AMP	10	70	14.3%	No
DEFB112		6p12.3	HOMDEL	1	70	1.4%	No
EBF2		8p21.2	HOMDEL	1	70	1.4%	No
TM9SF4		20q11.21	AMP	1	70	1.4%	No
H1-7		12q13.11	AMP	1	70	1.4%	No
XKR7		20q11.21	AMP	1	70	1.4%	No
GET3		19p13.13	HOMDEL	1	70	1.4%	No
TMSB4X		Xp22.2	AMP	2	70	2.9%	No
PVR		19q13.31	AMP	5	70	7.1%	No
UNK		17q25.1	AMP	4	70	5.7%	No
CPZ		4p16.1	HOMDEL	1	70	1.4%	No
AXIN2		17q24.1	AMP	3	70	4.3%	Yes
GABPB2		1q21.3	AMP	1	70	1.4%	No
SYCN		19q13.2	AMP	4	70	5.7%	No
PDLIM2		8p21.3	HOMDEL	1	70	1.4%	No
DPY19L3		19q13.11	AMP	1	70	1.4%	No
POGLUT1		3q13.33	AMP	3	70	4.3%	No
GSTA5		6p12.2	HOMDEL	1	70	1.4%	No
OR5M10		11q12.1	HOMDEL	1	70	1.4%	No
ECH1		19q13.2	AMP	3	70	4.3%	No
CEP43		6q27	HOMDEL	1	70	1.4%	Yes
GRIPAP1		Xp11.23	AMP	2	70	2.9%	No
N4BP3		5q35.3	AMP	1	70	1.4%	No
RMND5B		5q35.3	AMP	1	70	1.4%	No
LCN8		9q34.3	HOMDEL	1	70	1.4%	No
ATG13		11p11.2	AMP	1	70	1.4%	No
TNFRSF13C		22q13.2	HOMDEL	1	70	1.4%	No
BIK		22q13.2	AMP	3	70	4.3%	No
SLIRP		14q24.3	HOMDEL	1	70	1.4%	No
DYRK2		12q15	AMP	1	70	1.4%	No
NCCRP1		19q13.2	AMP	4	70	5.7%	No
OSTN		3q28	AMP	8	70	11.4%	No
PDXDC2P		16q22.1	AMP	1	70	1.4%	No
KCNMB3		3q26.32	AMP	9	70	12.9%	No
CWF19L2		11q22.3	HOMDEL	1	70	1.4%	No
REXO2		11q23.2	HOMDEL	1	70	1.4%	No
NECTIN2		19q13.32	AMP	4	70	5.7%	No
FNDC3B		3q26.31	AMP	11	70	15.7%	No
UBE2NL		Xq27.3	AMP	2	70	2.9%	No
BOK		2q37.3	HOMDEL	2	70	2.9%	No
OTUB2		14q32.12	AMP	1	70	1.4%	No
IGSF1		Xq25	AMP	1	70	1.4%	No
EID2B		19q13.2	AMP	4	70	5.7%	No
AADACL2-AS1		3q25.1	AMP	4	70	5.7%	No
UMODL1		21q22.3	AMP	1	70	1.4%	No
RABEP1		17p13.2	HOMDEL	1	70	1.4%	Yes
CCHCR1		6p21.33	HOMDEL	1	70	1.4%	No
DPAGT1		11q23.3	HOMDEL	1	70	1.4%	No
FCGR3B		1q23.3	AMP	1	70	1.4%	No
CDK10		16q24.3	HOMDEL	1	70	1.4%	No
PWWP3A		19p13.3	HOMDEL	3	70	4.3%	No
RC3H1		1q25.1	AMP	1	70	1.4%	No
ZNF250		8q24.3	AMP	1	70	1.4%	No
LINC01017		5p15.33	HOMDEL	1	70	1.4%	No
ZNF776		19q13.43	AMP	1	70	1.4%	No
SC5D		11q23.3-q24.1	HOMDEL	1	70	1.4%	No
DIP2C-AS1		10p15.3	HOMDEL	1	70	1.4%	No
CDK3		17q25.1	AMP	4	70	5.7%	No
CLMN		14q32.13	HOMDEL	1	70	1.4%	No
C3ORF49		3p14.1	HOMDEL	1	70	1.4%	No
SLC48A1		12q13.11	AMP	1	70	1.4%	No
PLCH1		3q25.31	AMP	6	70	8.6%	No
PACSIN3		11p11.2	HOMDEL	1	70	1.4%	No
A4GALT		22q13.2	HOMDEL	1	70	1.4%	No
LINC01028		17q24.3	AMP	1	70	1.4%	No
CTXN2		15q21.1	HOMDEL	2	70	2.9%	No
NHP2		5q35.3	AMP	1	70	1.4%	No
CRYBA2		2q35	HOMDEL	2	70	2.9%	No
TYMP		22q13.33	AMP	1	70	1.4%	No
TAT-AS1		16q22.2	AMP	1	70	1.4%	No
NEFH		22q12.2	AMP	1	70	1.4%	No
TRAPPC6A		19q13.32	AMP	2	70	2.9%	No
FBXO25		8p23.3	HOMDEL	1	70	1.4%	No
PRKG2		4q21.21	AMP	1	70	1.4%	No
FGF22		19p13.3	HOMDEL	3	70	4.3%	No
LINC00469		17q25.1	AMP	2	70	2.9%	No
CYHR1		8q24.3	AMP	1	70	1.4%	No
LINC01634		22q11.21	HOMDEL	1	70	1.4%	No
OPRPN		4q13.3	AMP	1	70	1.4%	No
MIR3667HG		22q13.33	HOMDEL	2	70	2.9%	No
HDDC3		15q26.1	AMP	1	70	1.4%	No
LINC00937		12p13.31	AMP	1	70	1.4%	No
FCGR2B		1q23.3	AMP	1	70	1.4%	Yes
CDKL5		Xp22.13	AMP	2	70	2.9%	No
MCTP2		15q26.2	AMP	1	70	1.4%	No
FOLH1B		11q14.3	AMP	2	70	2.9%	No
YIPF2		19p13.2	AMP	1	70	1.4%	No
GCC2		2q12.3	AMP	1	70	1.4%	No
CFDP1		16q23.1	AMP	1	70	1.4%	No
STXBP5L		3q13.33	AMP	4	70	5.7%	No
DDX25		11q24.2	HOMDEL	1	70	1.4%	No
TRNT1		3p26.2	HOMDEL	1	70	1.4%	No
INPP5K		17p13.3	HOMDEL	1	70	1.4%	No
CMTR2		16q22.2	AMP	1	70	1.4%	Yes
PITPNM3		17p13.2-p13.1	HOMDEL	1	70	1.4%	No
AHNAK2		14q32.33	HOMDEL	1	70	1.4%	No
WSCD1		17p13.2	HOMDEL	1	70	1.4%	No
AGXT		2q37.3	HOMDEL	2	70	2.9%	No
LINC00685		Xp22.33 and Yp11.32	AMP	1	70	1.4%	No
ZIK1		19q13.43	AMP	1	70	1.4%	No
PIEZO1		16q24.3	HOMDEL	1	70	1.4%	No
TMEM129		4p16.3	HOMDEL	1	70	1.4%	No
S100P		4p16.1	HOMDEL	1	70	1.4%	No
PDIA3		15q15.3	HOMDEL	2	70	2.9%	No
PCDH20		13q21.2	HOMDEL	2	70	2.9%	No
RIMOC1		5p13.1	AMP	6	70	8.6%	No
VDAC3		8p11.21	HOMDEL	1	70	1.4%	No
STK10		5q35.1	AMP	1	70	1.4%	No
TTLL3		3p25.3	HOMDEL	1	70	1.4%	No
GNB1L		22q11.21	AMP	1	70	1.4%	No
CDH18		5p14.3	AMP	5	70	7.1%	No
NXPE1		11q23.2	HOMDEL	1	70	1.4%	No
SOX5		12p12.1	AMP	1	70	1.4%	No
LONRF1		8p23.1	HOMDEL	1	70	1.4%	No
MANF		3p21.2	HOMDEL	1	70	1.4%	No
SPANXD		Xq27.2	AMP	1	70	1.4%	No
LINC02145		5p15.31	AMP	3	70	4.3%	No
GAL3ST1		22q12.2	AMP	1	70	1.4%	No
CGGBP1		3p11.1	HOMDEL	1	70	1.4%	No
RSPH1		21q22.3	AMP	1	70	1.4%	No
POU5F1B		8q24.21	AMP	3	70	4.3%	No
FCGR3A		1q23.3	AMP	1	70	1.4%	No
OR7A17		19p13.12	HOMDEL	1	70	1.4%	No
SERTM1		13q13.3	HOMDEL	1	70	1.4%	No
PABPC5		Xq21.31	HOMDEL	1	70	1.4%	No
LINC02239		5p14.1	AMP	4	70	5.7%	No
IFNA2		9p21.3	HOMDEL	1	70	1.4%	No
PRR4		12p13.2	AMP	1	70	1.4%	No
LINC00987		12p13.31	AMP	1	70	1.4%	No
LINC02370		12q24.33	AMP	1	70	1.4%	No
ZNF850		19q13.12	AMP	1	70	1.4%	No
CCL13		17q12	HOMDEL	1	70	1.4%	No
OR7G3		19p13.2	AMP	1	70	1.4%	No
CIPC		14q24.3	AMP	1	70	1.4%	No
USP17L18		4p16.1	HOMDEL	1	70	1.4%	No
EBPL		13q14.2	HOMDEL	3	70	4.3%	No
FAM181A		14q32.12	HOMDEL	1	70	1.4%	No
LINC01208		3q26.32	AMP	10	70	14.3%	No
MSL2		3q22.3	AMP	3	70	4.3%	No
CTBP1		4p16.3	HOMDEL	1	70	1.4%	No
CXCR3		Xq13.1	AMP	1	70	1.4%	No
FBXO3		11p13	HOMDEL	1	70	1.4%	No
DCUN1D5		11q22.3	AMP	6	70	8.6%	No
CFAP99		4p16.3	HOMDEL	1	70	1.4%	No
PRR23B		3q23	AMP	3	70	4.3%	No
TCP10L2		6q27	HOMDEL	1	70	1.4%	No
XPNPEP3		22q13.2	AMP	1	70	1.4%	No
FAM157B		9q34.3	HOMDEL	1	70	1.4%	No
ZNF630-AS1		Xp11.23	AMP	2	70	2.9%	No
ACE		17q23.3	AMP	1	70	1.4%	No
POMT2		14q24.3	HOMDEL	1	70	1.4%	No
GLT6D1		9q34.3	HOMDEL	1	70	1.4%	No
SHISA8		22q13.2	HOMDEL	1	70	1.4%	No
UCK2		1q24.1	AMP	1	70	1.4%	No
FOXH1		8q24.3	AMP	1	70	1.4%	No
GIPC1		19p13.12	HOMDEL	1	70	1.4%	No
ADAMTS16		5p15.32	HOMDEL	1	70	1.4%	No
CDAN1		15q15.2	HOMDEL	2	70	2.9%	No
ZNF69		19p13.2	HOMDEL	1	70	1.4%	No
OR7G2		19p13.2	AMP	1	70	1.4%	No
LYPD2		8q24.3	AMP	1	70	1.4%	No
HSP90AA1		14q32.31	HOMDEL	1	70	1.4%	Yes
UBE2Q2L		15q25.2	AMP	1	70	1.4%	No
NDUFS3		11p11.2	HOMDEL	1	70	1.4%	No
FEZ1		11q24.2	HOMDEL	1	70	1.4%	No
BRIX1		5p13.2	AMP	7	70	10.0%	No
RNF126		19p13.3	HOMDEL	3	70	4.3%	No
CKAP2		13q14.3	HOMDEL	2	70	2.9%	No
DUSP23		1q23.2	AMP	1	70	1.4%	No
PLD2		17p13.2	HOMDEL	1	70	1.4%	No
UMPS		3q21.2	AMP	3	70	4.3%	No
SDF2L1		22q11.21	AMP	1	70	1.4%	No
CEP295		11q21	AMP	2	70	2.9%	No
DCK		4q13.3	AMP	1	70	1.4%	No
SPATA33		16q24.3	HOMDEL	1	70	1.4%	No
PARP3		3p21.2	HOMDEL	1	70	1.4%	Yes
MRPL36		5p15.33	HOMDEL	1	70	1.4%	No
C1QTNF3		5p13.2	AMP	6	70	8.6%	No
DEUP1		11q21	AMP	3	70	4.3%	No
SEPTIN2		2q37.3	HOMDEL	2	70	2.9%	No
SLC35A5		3q13.2	AMP	2	70	2.9%	No
ATP13A3		3q29	AMP	10	70	14.3%	No
ANGPT1		8q23.1	AMP	1	70	1.4%	No
EFCAB12		3q21.3	AMP	4	70	5.7%	No
IFNA22P		9p21.3	HOMDEL	1	70	1.4%	No
KIF26A		14q32.33	HOMDEL	1	70	1.4%	No
LETR1		15q26.2	AMP	1	70	1.4%	No
ZNF202		11q23.3	HOMDEL	1	70	1.4%	No
LINC02227		5q33.3	AMP	1	70	1.4%	No
CCDC197		14q32.12	HOMDEL	1	70	1.4%	No
SPATA8		15q26.2	AMP	1	70	1.4%	No
ARPIN		15q26.1	AMP	1	70	1.4%	No
TMEM62		15q15.2	HOMDEL	2	70	2.9%	No
KANSL2		12q13.11	AMP	1	70	1.4%	No
ZNF839		14q32.31	HOMDEL	1	70	1.4%	No
ERC2-IT1		3p14.3	HOMDEL	1	70	1.4%	No
SCUBE1		22q13.2	HOMDEL	1	70	1.4%	No
ATXN3L		Xp22.2	AMP	2	70	2.9%	No
EDNRB-AS1		13q22.3	HOMDEL	1	70	1.4%	No
COL14A1		8q24.12	AMP	1	70	1.4%	No
CCDC184		12q13.11	AMP	1	70	1.4%	No
CTNND2		5p15.2	AMP	4	70	5.7%	No
DCN		12q21.33	AMP	1	70	1.4%	No
DNAH5		5p15.2	AMP	4	70	5.7%	No
GPR108		19p13.3	HOMDEL	1	70	1.4%	No
SPRED3		19q13	AMP	3	70	4.3%	No
ARFGAP3		22q13.2	HOMDEL	1	70	1.4%	No
C1QTNF2		5q33.3	AMP	1	70	1.4%	No
DNM1P41		15q25.2	AMP	1	70	1.4%	No
CIITA		16p13.13	AMP	1	70	1.4%	Yes
CLDN18		3q22.3	AMP	3	70	4.3%	No
CD209		19p13.2	AMP	1	70	1.4%	No
CCDC91		12p11.22	AMP	1	70	1.4%	No
SUGT1P3		13q14.11	HOMDEL	2	70	2.9%	No
RAD1		5p13.2	AMP	6	70	8.6%	No
ACAD11		3q22.1	AMP	3	70	4.3%	No
LINC01018		5p15.31	AMP	3	70	4.3%	No
PGPEP1L		15q26.3	AMP	1	70	1.4%	No
KLHL24		3q27.1	AMP	8	70	11.4%	No
PRR23C		3q23	AMP	3	70	4.3%	No
SYNRG		17q12	AMP	1	70	1.4%	No
XAF1		17p13.2	HOMDEL	1	70	1.4%	No
TRMT12		8q24.13	AMP	1	70	1.4%	No
LINC01069		13q22.3	HOMDEL	1	70	1.4%	No
CANT1		17q25.3	HOMDEL	2	70	2.9%	Yes
AATK		17q25.3	HOMDEL	1	70	1.4%	No
ANGPTL8		19p13.2	HOMDEL	1	70	1.4%	No
ANK1		8p11.21	AMP	2	70	2.9%	No
ZNF586		19q13.43	AMP	1	70	1.4%	No
IFT80		3q25.33	AMP	6	70	8.6%	No
ZNF317		19p13.2	AMP	1	70	1.4%	No
SNORA63		3q27.3	AMP	8	70	11.4%	No
RBM5		3p21.31	HOMDEL	1	70	1.4%	No
SLC66A1L		3q25.32	AMP	6	70	8.6%	No
CASK		Xp11.4	AMP	1	70	1.4%	No
HCRTR2		6p12.1	AMP	1	70	1.4%	No
ZNF354C		5q35.3	AMP	1	70	1.4%	No
RIBC1		Xp11.22	AMP	1	70	1.4%	No
FMR1NB		Xq27.3-q28	AMP	2	70	2.9%	No
OGFOD3		17q25.3	HOMDEL	1	70	1.4%	No
SMARCA4		19p13.2	HOMDEL	1	70	1.4%	Yes
HAS2-AS1		8q24.13	AMP	1	70	1.4%	No
GMDS-DT		6p25.3-p25.2	HOMDEL	1	70	1.4%	No
LZTS1		8p21.3	HOMDEL	1	70	1.4%	No
FAM120B		6q27	HOMDEL	1	70	1.4%	No
ZNF564		19p13.2	HOMDEL	1	70	1.4%	No
GCC1		7q32.1	HOMDEL	1	70	1.4%	No
TSPAN18		11p11.2	AMP	1	70	1.4%	No
LINC01637		22q11.21	AMP	1	70	1.4%	No
NYAP2		2q36.3	HOMDEL	1	70	1.4%	No
SRP14		15q22	HOMDEL	1	70	1.4%	No
CDCA4		14q32.33	AMP	1	70	1.4%	No
KRT33B		17q21.2	HOMDEL	2	70	2.9%	No
NT5C		17q25	AMP	4	70	5.7%	No
VPS37A		8p22	HOMDEL	1	70	1.4%	No
CNOT6L		4q21.1	AMP	1	70	1.4%	No
MAPK8IP2		22q13.33	HOMDEL	2	70	2.9%	No
FAM180B		11p11.2	HOMDEL	1	70	1.4%	No
CTBP1-AS		4p16.3	HOMDEL	1	70	1.4%	No
CCDC14		3q21.1	AMP	3	70	4.3%	No
YY2		Xp22.12	AMP	3	70	4.3%	No
CBLC		19q13.32	AMP	4	70	5.7%	Yes
CCDC88B		11q13.1	AMP	1	70	1.4%	No
IL1RAPL1		Xp21.3-p21.2	AMP	2	70	2.9%	No
USP18		22q11.2	AMP	1	70	1.4%	No
LIPJ		10q23.31	HOMDEL	1	70	1.4%	No
ZNF592		15q25.3	AMP	1	70	1.4%	No
GTF2E1		3q13.33	AMP	3	70	4.3%	No
SNORD114-8		14q32.31	HOMDEL	1	70	1.4%	No
LRRC1		6p12.1	HOMDEL	1	70	1.4%	No
NBPF15		1q21.1	AMP	1	70	1.4%	No
