Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
INPP5J	INPP5J: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
LAT2	LAT2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	24	7%
PTPN11	PTPN11: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
BTC	BTC: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
CBL	CBL: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
STAM2	STAM2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
SYNJ1	SYNJ1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
TUBB1	TUBB1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
CD79B	CD79B: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
INPPL1	INPPL1: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
ITPKA	ITPKA: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
VWF	VWF: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
DGKD	DGKD: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
TNS3	TNS3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
PIK3CD	PIK3CD: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
LCP2	LCP2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	23	6%
CNTRL	CNTRL: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
CACNA1D	CACNA1D: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
CACNA2D2	CACNA2D2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
CACNB2	CACNB2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
NRG4	NRG4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
FGF4	FGF4: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
RASGRP3	RASGRP3: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
FRS2	FRS2: MUT AMP HOMDEL EXP>=2 EXP<=-2;	22	6%
