Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ARF1	ARF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DDB1	DDB1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DDX5	DDX5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
H3-3A	H3-3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
H4C5	H4C5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
FBL	FBL: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
CDC27	CDC27: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DDX41	DDX41: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
H2AC20	H2AC20: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DCUN1D5	DCUN1D5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
BUD31	BUD31: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DHX16	DHX16: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DHX8	DHX8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
DENND1A	DENND1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
ELOA	ELOA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
FBXL7	FBXL7: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
COMMD8	COMMD8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
CHD1L	CHD1L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
FBXL15	FBXL15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
FBXO10	FBXO10: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
C1ORF198	C1ORF198: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	4%
AGO1	AGO1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
DDOST	DDOST: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
AAAS	AAAS: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
AIMP2	AIMP2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
GTF2H1	GTF2H1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
GRIA1	GRIA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
ASB9	ASB9: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
CLASP1	CLASP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
BRIP1	BRIP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
H2BC1	H2BC1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
CWC15	CWC15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
H3C1	H3C1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
ACTR10	ACTR10: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
GNL3	GNL3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
GPRC5A	GPRC5A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
HAUS4	HAUS4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	4%
