Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
PIK3R5	PIK3R5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
FGF3	FGF3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
NTF3	NTF3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
DVL1	DVL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
PDGFRA	PDGFRA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
GPR183	GPR183: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
PIK3CG	PIK3CG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
IGHD	IGHD: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
PLCG2	PLCG2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	3%
KIAA0319	KIAA0319: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
SYNJ1	SYNJ1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
BCR	BCR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
RASGRP2	RASGRP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
PDPK1	PDPK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
HGF	HGF: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
FGF10	FGF10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
VAV3	VAV3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
ITPKC	ITPKC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
DAGLA	DAGLA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	3%
SOS1	SOS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
AVPR2	AVPR2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
CBL	CBL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
LDLR	LDLR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
MYO10	MYO10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PIP5K1C	PIP5K1C: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
TF	TF: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
LRRFIP1	LRRFIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
SHC1	SHC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
NCKAP1	NCKAP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
NTRK2	NTRK2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
RASGRP1	RASGRP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PIK3CB	PIK3CB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
BSG	BSG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
CPSF6	CPSF6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PRKCB	PRKCB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
FGA	FGA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
FGF7	FGF7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PRKCG	PRKCG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
FGG	FGG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
DGKB	DGKB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
DGKD	DGKD: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
TRPC5	TRPC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PLCB2	PLCB2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
SH2D2A	SH2D2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
TEC	TEC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
KLRD1	KLRD1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	19	3%
PDGFA	PDGFA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
SNRPF	SNRPF: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
CLTCL1	CLTCL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
FNBP1	FNBP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
REPS2	REPS2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
SNAP91	SNAP91: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
STON1	STON1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
GNA13	GNA13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
FGF8	FGF8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
CRMP1	CRMP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
ATF2	ATF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
CYFIP2	CYFIP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
CCL3	CCL3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
FGF2	FGF2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
LAT	LAT: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
TRPC1	TRPC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
TRPC3	TRPC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
INPP5A	INPP5A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
FCGR3A	FCGR3A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
DGKE	DGKE: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	18	2.8%
TACR1	TACR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
HNRNPH3	HNRNPH3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
PLCD1	PLCD1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
BTK	BTK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
CD19	CD19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
TLR9	TLR9: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
DGKA	DGKA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
PLCH2	PLCH2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
PIP4K2C	PIP4K2C: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
INPP5B	INPP5B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
C1S	C1S: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
TRPC7	TRPC7: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
TRAT1	TRAT1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
FCGR2B	FCGR2B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	17	2.7%
CD3G	CD3G: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
VEGFA	VEGFA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
GNAO1	GNAO1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
BAIAP2	BAIAP2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
INPPL1	INPPL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
NTRK3	NTRK3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
PIP4K2A	PIP4K2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
PRKCE	PRKCE: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
ICE2	ICE2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
CACNB2	CACNB2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
NRG2	NRG2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
FGF23	FGF23: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
MS4A2	MS4A2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
RASGRP3	RASGRP3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
KLRC2	KLRC2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
TICAM1	TICAM1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	2.5%
AMBP	AMBP: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
IL6	IL6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
PRKCD	PRKCD: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
CD247	CD247: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
FCGR1A	FCGR1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
CACNA1D	CACNA1D: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
CACNA2D2	CACNA2D2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
FCGR2A	FCGR2A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
FGF5	FGF5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
KITLG	KITLG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
C1QA	C1QA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
BLNK	BLNK: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
IRAK1	IRAK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
PRKCH	PRKCH: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
C1QB	C1QB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
CLEC1B	CLEC1B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
TREM2	TREM2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.4%
MYD88	MYD88: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
PTPN11	PTPN11: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
MAPT	MAPT: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
PDGFB	PDGFB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
SGIP1	SGIP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
WNT5A	WNT5A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
RGS6	RGS6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
FGR	FGR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
AHSG	AHSG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
PLCZ1	PLCZ1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
IRAK4	IRAK4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
DGKQ	DGKQ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.2%
