Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ERCC8	ERCC8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	35	11%
AK2	AK2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
EIF3B	EIF3B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
ERCC2	ERCC2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
GSPT1	GSPT1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
AQR	AQR: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
CEP192	CEP192: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
HAUS6	HAUS6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
CENPO	CENPO: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
FBXL7	FBXL7: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
BLM	BLM: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
ERCC5	ERCC5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
C1ORF198	C1ORF198: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
FBXO27	FBXO27: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	34	11%
CLTC	CLTC: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
COPS2	COPS2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
DYNC1I2	DYNC1I2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
COPS4	COPS4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
COPS7A	COPS7A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
CGN	CGN: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
FCGR3A	FCGR3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
CATSPERG	CATSPERG: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	33	11%
BUB3	BUB3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
DDX23	DDX23: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
DHX9	DHX9: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
EIF2S1	EIF2S1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
H3-3A	H3-3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
ALMS1	ALMS1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
BRIP1	BRIP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	32	10%
CPSF3	CPSF3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
GABARAPL2	GABARAPL2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
BORA	BORA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
DDX39B	DDX39B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
CWC22	CWC22: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
DDX39A	DDX39A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
GPS1	GPS1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
ERCC4	ERCC4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	31	10%
DNAJA2	DNAJA2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	10%
EXOSC3	EXOSC3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	10%
CEP250	CEP250: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	10%
CWC15	CWC15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	10%
FBXO9	FBXO9: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	30	10%
EFTUD2	EFTUD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CPSF6	CPSF6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
DNAJC8	DNAJC8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
DYNC1LI2	DYNC1LI2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CD80	CD80: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
DIAPH2	DIAPH2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
ASB2	ASB2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CWC25	CWC25: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CWC27	CWC27: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CDC26	CDC26: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
CHD1L	CHD1L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
FBXL3	FBXL3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	29	9%
HNRNPA0	HNRNPA0: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
CAND1	CAND1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
CDK12	CDK12: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ERAL1	ERAL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
FBXL5	FBXL5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
HAUS2	HAUS2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
CENPM	CENPM: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
GCFC2	GCFC2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	28	9%
ACTR2	ACTR2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
DNAJC6	DNAJC6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
DDX17	DDX17: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
EBNA1BP2	EBNA1BP2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
CIRBP	CIRBP: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
FKBP1B	FKBP1B: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
COMMD8	COMMD8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
ANAPC10	ANAPC10: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
GNL2	GNL2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
BTBD6	BTBD6: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	27	9%
AAAS	AAAS: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CASC3	CASC3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
EIF4A3	EIF4A3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
ALPI	ALPI: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
FNBP1	FNBP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
ANXA1	ANXA1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CCT8	CCT8: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
FARSB	FARSB: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
ERLIN2	ERLIN2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CENPU	CENPU: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CCNF	CCNF: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
DCUN1D2	DCUN1D2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
CUX1	CUX1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	26	8%
HDAC4	HDAC4: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
DDB1	DDB1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
GTF2H1	GTF2H1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
CDC27	CDC27: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
H2BC5	H2BC5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
COPS3	COPS3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
ESPL1	ESPL1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
FBXL18	FBXL18: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
GNL3	GNL3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
CXXC1	CXXC1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
FRG1	FRG1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	25	8%
DDX3X	DDX3X: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
H4C5	H4C5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
ATAD3A	ATAD3A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
FBXL19	FBXL19: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
DCTN2	DCTN2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
BAZ2A	BAZ2A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CENPA	CENPA: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CKAP5	CKAP5: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CLASP1	CLASP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CNTRL	CNTRL: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
H2AC15	H2AC15: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
H2AW	H2AW: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CCNT1	CCNT1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
C2CD3	C2CD3: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
DENND1A	DENND1A: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CENPS	CENPS: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
CENPT	CENPT: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	24	8%
BANF1	BANF1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	7%
AMPD2	AMPD2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	7%
DNM2	DNM2: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	7%
FNBP1L	FNBP1L: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	7%
AIMP1	AIMP1: MUT AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	23	7%
