Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
FAM221A		7p15.3	AMP	1	8	12.5%	No
PRR23B		3q23	AMP	1	8	12.5%	No
JUP		17q21.2	AMP	1	8	12.5%	No
ERV3-1		7q11.21	AMP	1	8	12.5%	No
ELOC		8q21.11	AMP	1	8	12.5%	Yes
LANCL2		7p11.2	AMP	1	8	12.5%	No
POTEB2		15q11.2	HOMDEL	1	8	12.5%	No
TOP2A		17q21.2	AMP	1	8	12.5%	No
PROKR2		20p12.3	AMP	1	8	12.5%	No
SNORD116-18		15q11.2	HOMDEL	1	8	12.5%	No
LSAMP		3q13.31	AMP	1	8	12.5%	No
SUCNR1		3q25.1	AMP	1	8	12.5%	No
RETREG1-AS1		5p15.1	AMP	1	8	12.5%	No
GNAO1-AS1		16q13	HOMDEL	1	8	12.5%	No
PSPH		7p11.2	AMP	1	8	12.5%	No
SNORD115-2		15q11.2	AMP	1	8	12.5%	No
C6		5p13.1	AMP	1	8	12.5%	No
PAIP1		5p12	AMP	1	8	12.5%	No
HOXA1		7p15.2	AMP	1	8	12.5%	No
FKBP14		7p14.3	AMP	1	8	12.5%	No
CIP2A		3q13.13	AMP	1	8	12.5%	No
MT1F		16q13	HOMDEL	1	8	12.5%	No
BRIX1		5p13.2	AMP	1	8	12.5%	No
SOCS7		17q12	AMP	1	8	12.5%	No
EEPD1		7p14.2	AMP	1	8	12.5%	No
NRM		6p21.33	AMP	1	8	12.5%	No
RTP1		3q27.3	AMP	1	8	12.5%	No
DNAJC13		3q22.1	AMP	1	8	12.5%	No
INMT		7p14.3	AMP	1	8	12.5%	No
UMPS		3q21.2	AMP	1	8	12.5%	No
NFKBIZ		3q12.3	AMP	1	8	12.5%	No
TOMM34		20q13.12	AMP	1	8	12.5%	No
ZNF815P		7p22.1	AMP	1	8	12.5%	No
BTLA		3q13.2	AMP	1	8	12.5%	Yes
SNORD115-39		15q11.2	HOMDEL	1	8	12.5%	No
TIPARP		3q25.31	AMP	1	8	12.5%	Yes
C1QTNF3		5p13.2	AMP	1	8	12.5%	No
TMEM240		1p36.33	HOMDEL	1	8	12.5%	No
ZNF107		7q11.21	AMP	1	8	12.5%	No
RANBP3L		5p13.2	AMP	1	8	12.5%	No
SLC35A5		3q13.2	AMP	1	8	12.5%	No
ATP13A3		3q29	AMP	1	8	12.5%	No
LY6G6E		6p21.33	AMP	1	8	12.5%	No
AIF1		6p21.33	AMP	1	8	12.5%	No
EIF2A		3q25.1	AMP	1	8	12.5%	No
EFCAB12		3q21.3	AMP	1	8	12.5%	No
LINC00922		16q21	HOMDEL	1	8	12.5%	No
SIAH1		16q12.1	HOMDEL	1	8	12.5%	No
KRT12		17q21.2	AMP	1	8	12.5%	No
MAP4K1		19q13.2	AMP	1	8	12.5%	No
SNORD116-27		15q11.2	AMP	1	8	12.5%	No
PDIA5		3q21.1	AMP	1	8	12.5%	No
CTNND2		5p15.2	AMP	1	8	12.5%	No
LRRN4		20p12.3	AMP	1	8	12.5%	No
DNAH5		5p15.2	AMP	1	8	12.5%	No
CFAP61		20p11.23	AMP	1	8	12.5%	No
SPRED3		19q13	AMP	1	8	12.5%	No
CLDN18		3q22.3	AMP	1	8	12.5%	No
RBAK		7p22.1	AMP	1	8	12.5%	No
CAMK2B		7p13	AMP	1	8	12.5%	No
ZPBP2		17q21.1	AMP	1	8	12.5%	No
RAD1		5p13.2	AMP	1	8	12.5%	No
ACAD11		3q22.1	AMP	1	8	12.5%	No
ZNF781		19q13.12	AMP	1	8	12.5%	No
LINC01018		5p15.31	AMP	1	8	12.5%	No
PAK2		3q29	AMP	1	8	12.5%	No
KLHL24		3q27.1	AMP	1	8	12.5%	No
PRR23C		3q23	AMP	1	8	12.5%	No
H1-8		3q22.1	AMP	1	8	12.5%	No
KRT10		17q21.2	AMP	1	8	12.5%	No
SYNRG		17q12	AMP	1	8	12.5%	No
RAPGEF5		7p15.3	AMP	1	8	12.5%	No
LINC01205		3q13.13	AMP	1	8	12.5%	No
RYR1		19q13.2	AMP	1	8	12.5%	No
PROSER3		19q13.12	AMP	2	8	25.0%	No
DHFR2		3q11.2	AMP	1	8	12.5%	No
LSG1		3q29	AMP	1	8	12.5%	No
IFT80		3q25.33	AMP	1	8	12.5%	No
SNORA63		3q27.3	AMP	1	8	12.5%	No
SLC66A1L		3q25.32	AMP	1	8	12.5%	No
HES1		3q29	AMP	1	8	12.5%	No
UBE2QL1		5p15.31	AMP	1	8	12.5%	No
MPIG6B		6p21.33	AMP	1	8	12.5%	No
C8G		9q34.3	HOMDEL	1	8	12.5%	No
KRT9		17q21.2	AMP	1	8	12.5%	No
ZNF573		19q13.12	AMP	1	8	12.5%	No
PKIG		20q13.12	AMP	1	8	12.5%	No
RASSF2		20p13	AMP	1	8	12.5%	No
KRTAP1-4		17q21.2	AMP	1	8	12.5%	No
P3H4		17q21.2	AMP	1	8	12.5%	No
KRT24		17q21.2	AMP	1	8	12.5%	No
FXYD5		19q13.12	AMP	2	8	25.0%	No
C3ORF85		3q13.13	AMP	1	8	12.5%	No
TGFB1I1		16p11.2	HOMDEL	1	8	12.5%	No
ST6GAL1		3q27.3	AMP	1	8	12.5%	No
LGALS16		19q13.2	AMP	1	8	12.5%	No
RNF216-IT1		7p22.1	AMP	1	8	12.5%	No
PLXDC1		17q12	AMP	1	8	12.5%	No
SERP1		3q25.1	AMP	1	8	12.5%	No
YWHAEP1		7q11.21	AMP	1	8	12.5%	No
CCDC54		3q13.12	AMP	1	8	12.5%	No
CCDC14		3q21.1	AMP	1	8	12.5%	No
BCHE		3q26.1	AMP	1	8	12.5%	No
IPW		15q11.2	HOMDEL	1	8	12.5%	No
RPL32P3		3q21.3	AMP	1	8	12.5%	No
HOXA11-AS		7p15.2	AMP	1	8	12.5%	No
DDX52		17q12	AMP	1	8	12.5%	No
OSBPL3		7p15.3	AMP	1	8	12.5%	No
ZNF570		19q13.12	AMP	1	8	12.5%	No
GTF2E1		3q13.33	AMP	1	8	12.5%	No
KRT39		17q21.2	AMP	1	8	12.5%	No
ANAPC13		3q22.2	AMP	1	8	12.5%	No
KLHL7-DT		7p15.3	AMP	1	8	12.5%	No
TMEM39A		3q13.33	AMP	1	8	12.5%	No
SLC6A10P		16p11.2	HOMDEL	1	8	12.5%	No
KLHL6		3q27.1	AMP	1	8	12.5%	Yes
OR5H2		3q11.2	AMP	1	8	12.5%	No
RABGEF1P1		7q11.21	AMP	1	8	12.5%	No
SARS2		19q13.2	AMP	1	8	12.5%	No
TP73		1p36.32	HOMDEL	1	8	12.5%	No
SLC44A4		6p21.33	AMP	1	8	12.5%	No
CDH5		16q21	HOMDEL	1	8	12.5%	No
VWA7		6p21.33	AMP	1	8	12.5%	No
OTULINL		5p15.2	AMP	1	8	12.5%	No
CABS1		4q13.3	HOMDEL	1	8	12.5%	No
ZPBP		7p12.2	AMP	1	8	12.5%	No
ATG3		3q13.2	AMP	1	8	12.5%	No
PURB		7p13	AMP	1	8	12.5%	No
DROSHA		5p13.3	AMP	1	8	12.5%	Yes
PTGDS		9q34.3	HOMDEL	1	8	12.5%	No
SNORD115-30		15q11.2	HOMDEL	1	8	12.5%	No
RBP1		3q23	AMP	1	8	12.5%	No
WRAP73		1p36.32	HOMDEL	1	8	12.5%	No
TYW1		7q11.21	AMP	1	8	12.5%	No
ROR2		9q22.31	AMP	1	8	12.5%	No
HPS3		3q24	AMP	1	8	12.5%	No
ZNF716		7p11.2	AMP	1	8	12.5%	No
SLC12A8		3q21.2	AMP	1	8	12.5%	No
EIF4G1		3q27.1	AMP	1	8	12.5%	No
LINC02016		3q21.3	AMP	1	8	12.5%	No
CCNP		19q13.2	AMP	1	8	12.5%	No
LINC00997		7p14.3	AMP	1	8	12.5%	No
MT4		16q13	HOMDEL	1	8	12.5%	No
LINC01994		3q26.33	AMP	1	8	12.5%	No
GPCPD1		20p12.3	AMP	1	8	12.5%	No
DGKB		7p21.2	AMP	1	8	12.5%	No
PFN2		3q25.1	AMP	1	8	12.5%	No
SNORD115-48		15q11.2	AMP	1	8	12.5%	No
AIMP2		7p22.1	AMP	1	8	12.5%	No
HERC2P3		15q11.1-q11.2	HOMDEL	1	8	12.5%	No
LXN		3q25.32	AMP	1	8	12.5%	No
EIF2AK1		7p22.1	AMP	1	8	12.5%	No
ELMO1-AS1		7p14.2	AMP	1	8	12.5%	No
HNF4A-AS1		20q13.12	AMP	1	8	12.5%	No
HLA-DRB1		6p21.32	AMP	1	8	12.5%	No
LRRFIP2		3p22.2	HOMDEL	1	8	12.5%	No
LINC01447		7p12.3	AMP	1	8	12.5%	No
COL8A1		3q12.1	AMP	1	8	12.5%	No
STK19		6p21.33	AMP	1	8	12.5%	Yes
TBL1XR1		3q26.32	AMP	1	8	12.5%	Yes
GARS1-DT		7p14.3	AMP	1	8	12.5%	No
DPPA2		3q13.13	AMP	1	8	12.5%	No
LINC02981		7p15.2	AMP	1	8	12.5%	No
AJAP1		1p36.32	HOMDEL	1	8	12.5%	No
MLYCD		16q23.3	HOMDEL	1	8	12.5%	No
SNORD116-29		15q11.2	AMP	1	8	12.5%	No
DGKG		3q27.2-q27.3	AMP	1	8	12.5%	No
RAB7A		3q21.3	AMP	1	8	12.5%	No
HLA-DRA		6p21.32	AMP	1	8	12.5%	No
MXRA8		1p36.33	HOMDEL	1	8	12.5%	No
YWHAB		20q13.12	AMP	1	8	12.5%	No
EGFLAM		5p13.2-p13.1	AMP	1	8	12.5%	No
FAM126A		7p15.3	AMP	1	8	12.5%	No
SSU72		1p36.33	HOMDEL	1	8	12.5%	No
NME9		3q22.3	AMP	1	8	12.5%	No
ZNF622		5p15.1	AMP	1	8	12.5%	No
GGN		19q13.2	AMP	1	8	12.5%	No
SIPA1L3		19q13.13-q13.2	AMP	1	8	12.5%	No
SKP2		5p13.2	AMP	1	8	12.5%	No
MUC4		3q29	AMP	1	8	12.5%	No
ZNF420		19q13.12	AMP	1	8	12.5%	No
EGFR		7p11.2	AMP	1	8	12.5%	Yes
SPINT3		20q13.12	AMP	1	8	12.5%	No
AGXT2		5p13.2	AMP	1	8	12.5%	No
PLAAT1		3q29	AMP	1	8	12.5%	No
CCT6A		7p11.2	AMP	1	8	12.5%	No
POLR2H		3q27.1	AMP	1	8	12.5%	No
ZNF469		16q24.2	HOMDEL	1	8	12.5%	No
JPH2		20q13.12	AMP	1	8	12.5%	No
TP53TG3		16p11.2	HOMDEL	1	8	12.5%	No
CHEK2P2		15q11.1	HOMDEL	1	8	12.5%	No
SNORA4		3q27.3	AMP	1	8	12.5%	No
ISY1		3q21.3	AMP	1	8	12.5%	No
WNK2		9q22.31	AMP	1	8	12.5%	No
LINC02587		7p21.2	AMP	1	8	12.5%	No
ADCY5		3q21.1	AMP	1	8	12.5%	No
LNP1		3q12.2	AMP	1	8	12.5%	No
TP53TG3D		16p11.2	HOMDEL	1	8	12.5%	No
PRND		20p13	AMP	1	8	12.5%	No
AMBN		4q13.3	HOMDEL	1	8	12.5%	No
ATAD3A		1p36.33	HOMDEL	1	8	12.5%	No
JAZF1-AS1		7p15.1	AMP	1	8	12.5%	No
STK17A		7p13	AMP	1	8	12.5%	No
UBE2MP1		16p11.2	HOMDEL	1	8	12.5%	No
DLG1		3q29	AMP	1	8	12.5%	No
POLR2I		19q13.12	AMP	1	8	12.5%	No
NBEAP1		15q11.2	HOMDEL	1	8	12.5%	Yes
WWTR1		3q25.1	AMP	1	8	12.5%	Yes
SNORD2		3q27.3	AMP	1	8	12.5%	No
GOLGB1		3q13.33	AMP	1	8	12.5%	No
PPP2R3A		3q22.2-q22.3	AMP	1	8	12.5%	No
HLA-DQB2		6p21.32	AMP	1	8	12.5%	No
SLITRK3		3q26.1	AMP	1	8	12.5%	No
CMSS1		3q12.1	AMP	1	8	12.5%	No
B3GALT6		1p36.33	HOMDEL	1	8	12.5%	No
RER1		1p36.32	HOMDEL	1	8	12.5%	No
LINC02052		3q27.3	AMP	1	8	12.5%	No
E2F1		20q11.22	AMP	1	8	12.5%	No
NXPE3		3q12.3	AMP	1	8	12.5%	No
ANKH		5p15.2	AMP	1	8	12.5%	No
USF3		3q13.2	AMP	1	8	12.5%	No
PCGF2		17q12	AMP	1	8	12.5%	No
ZBTB11		3q12.3	AMP	1	8	12.5%	No
ZNF302		19q13.11	AMP	1	8	12.5%	No
BBS2		16q13	HOMDEL	1	8	12.5%	No
COPG1		3q21.3	AMP	1	8	12.5%	No
SNORD116-5		15q11.2	HOMDEL	1	8	12.5%	No
RUSF1		16p11.2	HOMDEL	1	8	12.5%	No
ADAD2		16q24.1	HOMDEL	1	8	12.5%	No
TOX3		16q12.1	AMP	1	8	12.5%	No
RBAK-RBAKDN		7p22.1	AMP	1	8	12.5%	No
UBE2W		8q21.11	AMP	1	8	12.5%	No
SNORD115-23		15q11.2	HOMDEL	1	8	12.5%	No
SLC6A18		5p15.33	AMP	1	8	12.5%	No
SGK2		20q13.12	AMP	1	8	12.5%	No
TMEM70		8q21.11	AMP	1	8	12.5%	No
SNORA38		6p21.33	AMP	1	8	12.5%	No
CYTH3		7p22.1	AMP	1	8	12.5%	No
ZNRF2P1		7p14.3	AMP	1	8	12.5%	No
TCF19		6p21.33	AMP	1	8	12.5%	No
HAMP		19q13.12	AMP	2	8	25.0%	No
CAPN12		19q13.2	AMP	1	8	12.5%	No
PPM1L		3q25.33-q26.1	AMP	1	8	12.5%	No
PSORS1C3		6p21.33	AMP	1	8	12.5%	No
FAM131A		3q27.1	AMP	1	8	12.5%	No
ATP13A3-DT		3q29	AMP	1	8	12.5%	No
LINC03014		7p22.3	AMP	1	8	12.5%	No
NPAP1		15q11.2	HOMDEL	1	8	12.5%	No
APLP1		19q13.12	AMP	2	8	25.0%	No
WASH7P		1p36.33	HOMDEL	1	8	12.5%	No
TTLL10		1p36.33	HOMDEL	1	8	12.5%	No
FOXL3-OT1		7p22.3	AMP	1	8	12.5%	No
FBXO17		19q13.2	AMP	1	8	12.5%	No
EPDR1		7p14.1	AMP	1	8	12.5%	No
ABHD16A		6p21.33	AMP	1	8	12.5%	No
MROH9		1q24.3	AMP	1	8	12.5%	No
JPH1		8q21.11	AMP	1	8	12.5%	No
CKLF-CMTM1		16q21	HOMDEL	1	8	12.5%	No
ZNF335		20q13.12	AMP	1	8	12.5%	No
HTR3D		3q27.1	AMP	1	8	12.5%	No
MCCC1		3q27.1	AMP	1	8	12.5%	No
SNRPN		15q11.2	AMP	1	8	12.5%	No
USF2		19q13.12	AMP	2	8	25.0%	No
SMCO1		3q29	AMP	1	8	12.5%	No
DAB2		5p13.1	AMP	1	8	12.5%	No
MRPL3		3q22.1	AMP	1	8	12.5%	No
DNAJC21		5p13.2	AMP	1	8	12.5%	No
HOXA10-AS		7p15.2	AMP	1	8	12.5%	No
TRA2A		7p15.3	AMP	1	8	12.5%	No
ZNF146		19q13.1	AMP	1	8	12.5%	No
CLRN1-AS1		3q25.1	AMP	1	8	12.5%	No
ACAP3		1p36.33	HOMDEL	1	8	12.5%	No
MLF1-DT		3q25.32	AMP	1	8	12.5%	No
LINC02593		1p36.33	HOMDEL	1	8	12.5%	No
HOTAIRM1		7p15.2	AMP	1	8	12.5%	No
GSK3B		3q13.33	AMP	1	8	12.5%	Yes
C1ORF174		1p36.32	HOMDEL	1	8	12.5%	No
FUT10		8p12	AMP	1	8	12.5%	No
KNG1		3q27.3	AMP	1	8	12.5%	No
MICB		6p21.33	AMP	1	8	12.5%	No
UNCX		7p22.3	AMP	1	8	12.5%	No
HAP1		17q21.2	AMP	1	8	12.5%	No
DDX11L1		1p36.33	HOMDEL	1	8	12.5%	No
MOB1B		4q13.3	HOMDEL	1	8	12.5%	No
OR5H1		3q11.2	AMP	1	8	12.5%	No
LSM2		6p21.33	AMP	1	8	12.5%	No
NPVF		7p15.3	AMP	1	8	12.5%	No
PRKCZ		1p36.33	HOMDEL	1	8	12.5%	No
RAB5C		17q21.2	AMP	1	8	12.5%	No
ADCYAP1R1		7p14.3	AMP	1	8	12.5%	No
NPSR1-AS1		7p14.3	AMP	1	8	12.5%	No
PIGX		3q29	AMP	1	8	12.5%	No
ZNF727		7q11.21	AMP	1	8	12.5%	No
PLCXD3		5p13.1	AMP	1	8	12.5%	No
KCNMB2		3q26.32	AMP	1	8	12.5%	No
MAGEF1		3q27.1	AMP	1	8	12.5%	No
SLC1A3		5p13.2	AMP	1	8	12.5%	No
RETNLB		3q13.13	AMP	1	8	12.5%	No
ICA1		7p21.3	AMP	1	8	12.5%	No
FAM98C		19q13.2	AMP	1	8	12.5%	No
VOPP1		7p11.2	AMP	1	8	12.5%	No
LINC00488		3q13.13	AMP	1	8	12.5%	No
CHCHD2		7p11.2	AMP	1	8	12.5%	No
STAG3L4		7q11.21	AMP	1	8	12.5%	No
IQCJ		3q25.32	AMP	1	8	12.5%	No
INTS4P2		7q11.21	AMP	1	8	12.5%	No
NCOA5		20q13.12	AMP	1	8	12.5%	No
SMIM1		1p36.32	HOMDEL	1	8	12.5%	No
TAP2		6p21.32	AMP	1	8	12.5%	Yes
PSENEN		19q13.12	AMP	2	8	25.0%	No
ZNF713		7p11.2	AMP	1	8	12.5%	No
SNORD116-14		15q11.2	HOMDEL	1	8	12.5%	No
KRTAP2-4		17q21.2	AMP	1	8	12.5%	No
CPTP		1p36.33	HOMDEL	1	8	12.5%	No
ATF6B		6p21.3	AMP	1	8	12.5%	No
DLL3		19q13.2	AMP	1	8	12.5%	No
LRRC3C		17q21.1	AMP	1	8	12.5%	No
COX6B1		19q13.12	AMP	2	8	25.0%	No
PAXX		9q34.3	HOMDEL	1	8	12.5%	No
MINDY4		7p14.3	AMP	1	8	12.5%	No
LINC01428		20p12.3	AMP	1	8	12.5%	No
PPP1R14A		19q13.1	AMP	1	8	12.5%	No
WFDC8		20q13.12	AMP	1	8	12.5%	No
MUC21		6p21.33	AMP	1	8	12.5%	No
TRIM42		3q23	AMP	1	8	12.5%	No
MIB2		1p36.33	HOMDEL	1	8	12.5%	No
CTSA		20q13.12	AMP	1	8	12.5%	No
CDC6		17q21.2	AMP	1	8	12.5%	No
LRRC72		7p21.1	AMP	1	8	12.5%	No
AGR2		7p21.1	AMP	1	8	12.5%	No
DAGLB		7p22.1	AMP	1	8	12.5%	No
SNORD115-22		15q11.2	HOMDEL	1	8	12.5%	No
SCN1B		19q13.11	AMP	2	8	25.0%	No
SBSN		19q13.12	AMP	2	8	25.0%	No
ZDHHC11		5p15.33	AMP	1	8	12.5%	No
IFT122		3q21.3-q22.1	AMP	1	8	12.5%	No
PLEKHG2		19q13.2	AMP	1	8	12.5%	No
LINC01081		16q24.1	HOMDEL	1	8	12.5%	No
RNF7		3q23	AMP	1	8	12.5%	No
UROC1		3q21.3	AMP	1	8	12.5%	No
LINC02104		5p13.1	AMP	1	8	12.5%	No
COX4I1		16q24.1	HOMDEL	1	8	12.5%	No
SNORD116-27		15q11.2	HOMDEL	1	8	12.5%	No
TNRC18		7p22.1	AMP	1	8	12.5%	No
PRKAA1		5p13.1	AMP	1	8	12.5%	No
LINC00525		7p12.3	AMP	1	8	12.5%	No
TP53TG3C		16p11.2	HOMDEL	1	8	12.5%	No
GDAP1L1		20q13.12	AMP	1	8	12.5%	No
ITGAD		16p11.2	HOMDEL	1	8	12.5%	No
PRPS1L1		7p21.1	AMP	1	8	12.5%	No
SNORD115-1		15q11.2	HOMDEL	1	8	12.5%	No
LINC01752		20p12.2	AMP	1	8	12.5%	No
DPY19L2P1		7p14.2	AMP	1	8	12.5%	No
RNF122		8p12	AMP	1	8	12.5%	No
ZNF571		19q13.12	AMP	1	8	12.5%	No
HLA-DRB6		6p21.32	AMP	1	8	12.5%	No
ANKRD61		7p22.1	AMP	1	8	12.5%	No
TYROBP		19q13.12	AMP	2	8	25.0%	No
PSMB8		6p21.32	AMP	1	8	12.5%	No
PPIA		7p13	AMP	1	8	12.5%	No
MTHFD2P1		3q11.2	AMP	1	8	12.5%	No
SNORD115-27		15q11.2	HOMDEL	1	8	12.5%	No
GDNF-AS1		5p13.2	AMP	1	8	12.5%	No
PWRN1		15q11.2	HOMDEL	1	8	12.5%	No
AMFR		16q13	HOMDEL	1	8	12.5%	No
A4GNT		3q22.3	AMP	1	8	12.5%	No
NEUROD2		17q12	AMP	1	8	12.5%	No
PTEN		10q23.31	HOMDEL	1	8	12.5%	Yes
PSMB8-AS1		6p21.32	AMP	1	8	12.5%	No
TTC23L		5p13.2	AMP	1	8	12.5%	No
SYS1		20q13.12	AMP	1	8	12.5%	No
HLA-DRB5		6p21.32	AMP	1	8	12.5%	No
IGFLR1		19q13.12	AMP	2	8	25.0%	No
TRANK1		3p22.2	HOMDEL	1	8	12.5%	No
CEP72		5p15.33	AMP	1	8	12.5%	No
LINC01134		1p36.32	HOMDEL	1	8	12.5%	No
DPF1		19q13.2	AMP	1	8	12.5%	No
ACACA		17q12	AMP	1	8	12.5%	No
INMT-MINDY4		7p14.3	AMP	1	8	12.5%	No
KRTAP4-3		17q21.2	AMP	1	8	12.5%	No
ASXL1		20q11.21	AMP	1	8	12.5%	Yes
TRIM39		6p22.1	AMP	1	8	12.5%	No
ITGB8		7p21.1	AMP	1	8	12.5%	No
SNX4		3q21.2	AMP	1	8	12.5%	No
NR1I2		3q13.33	AMP	1	8	12.5%	No
ABCC12		16q12.1	HOMDEL	1	8	12.5%	No
NOL4L-DT		20q11.21	AMP	1	8	12.5%	No
TRIM59		3q25.33	AMP	1	8	12.5%	No
LINC01346		1p36.32	HOMDEL	1	8	12.5%	No
BFSP2		3q22.1	AMP	1	8	12.5%	No
BLVRA		7p13	AMP	1	8	12.5%	No
MUC7		4q13.3	HOMDEL	1	8	12.5%	No
ZNF663P		20q13.12	AMP	1	8	12.5%	No
MAVS		20p13	AMP	1	8	12.5%	No
BMPER		7p14.3	AMP	1	8	12.5%	No
SNORD116-1		15q11.2	HOMDEL	1	8	12.5%	No
LMLN		3q29	AMP	1	8	12.5%	No
COL6A5		3q22.1	AMP	1	8	12.5%	No
AKT2		19q13.2	AMP	1	8	12.5%	Yes
VWC2		7p12.2	AMP	1	8	12.5%	No
PWARSN		15q11.2	HOMDEL	1	8	12.5%	No
GABRD		1p36.33	HOMDEL	1	8	12.5%	No
KRTAP4-2		17q21.2	AMP	1	8	12.5%	No
STEAP1B-AS1		7p15.3	AMP	1	8	12.5%	No
PSMB9		6p21.32	AMP	1	8	12.5%	No
MORN1		1p36.32	HOMDEL	1	8	12.5%	No
COMMD7		20q11.21	AMP	1	8	12.5%	No
TTPAL		20q13.12	AMP	1	8	12.5%	No
ANKRD18DP		3q29	AMP	1	8	12.5%	No
ADAMTS16-DT		5p15.32	AMP	1	8	12.5%	No
RBPJL		20q13.12	AMP	1	8	12.5%	No
TARS1		5p13.3	AMP	1	8	12.5%	No
SCNN1D		1p36.33	HOMDEL	1	8	12.5%	No
ARMC5		16p11.2	HOMDEL	1	8	12.5%	No
MAP3K13		3q27.2	AMP	1	8	12.5%	Yes
CLDN16		3q28	AMP	1	8	12.5%	No
C7		5p13.1	AMP	1	8	12.5%	No
ATP10A		15q12	AMP	1	8	12.5%	No
DYNLT2B		3q29	AMP	1	8	12.5%	No
CDC14C		7p12.3	AMP	1	8	12.5%	No
SNORD115-11		15q11.2	HOMDEL	1	8	12.5%	No
ABI3BP		3q12.2	AMP	1	8	12.5%	No
FXYD1		19q13.12	AMP	2	8	25.0%	No
EEFSEC		3q21.3	AMP	1	8	12.5%	No
SNORD72		5p13.1	AMP	1	8	12.5%	No
URI1		19q12	AMP	1	8	12.5%	No
SEMA5B		3q21.1	AMP	1	8	12.5%	No
OCSTAMP		20q13.12	AMP	1	8	12.5%	No
SELENOP		5p12	AMP	1	8	12.5%	No
MEAK7		16q24.1	HOMDEL	1	8	12.5%	No
AKTIP		16q12.2	HOMDEL	1	8	12.5%	No
TERLR1		5p15.33	AMP	1	8	12.5%	No
SYK		9q22.2	AMP	1	8	12.5%	Yes
AGPAT1		6p21.32	AMP	1	8	12.5%	No
PLA1A		3q13.33	AMP	1	8	12.5%	No
CHST12		7p22.3	AMP	1	8	12.5%	No
SOX2-OT		3q26.33	AMP	1	8	12.5%	No
FXYD3		19q13.12	AMP	2	8	25.0%	No
CRNDE		16q12.2	HOMDEL	1	8	12.5%	No
TMEM41A		3q27.2	AMP	1	8	12.5%	No
KRTAP3-3		17q21.2	AMP	1	8	12.5%	No
ATAD3C		1p36.33	HOMDEL	1	8	12.5%	No
ITGB5		3q21.2	AMP	1	8	12.5%	No
FCGBP		19q13.2	AMP	1	8	12.5%	No
PSMG3		7p22.3	AMP	1	8	12.5%	No
GSDME		7p15.3	AMP	1	8	12.5%	No
KRT15		17q21.2	AMP	1	8	12.5%	No
FRG2DP		16p11.1	HOMDEL	1	8	12.5%	No
OR5K3		3q11.2	AMP	1	8	12.5%	No
SDF4		1p36.33	HOMDEL	1	8	12.5%	No
LTB		6p21.33	AMP	1	8	12.5%	Yes
RAP2B		3q25.2	AMP	1	8	12.5%	No
TNF		6p21.33	AMP	1	8	12.5%	No
KRTAP1-1		17q21.2	AMP	1	8	12.5%	No
SNORD116-10		15q11.2	HOMDEL	1	8	12.5%	No
MIR4458HG		5p15.31	AMP	1	8	12.5%	No
RTP4		3q27.3	AMP	1	8	12.5%	No
HCN1		5p12	AMP	1	8	12.5%	No
IL12A-AS1		3q25.33	AMP	1	8	12.5%	No
PMS2P4		7q11.21	AMP	1	8	12.5%	No
KIAA0895		7p14.2	AMP	1	8	12.5%	No
IRX2		5p15.33	AMP	1	8	12.5%	No
ZNF639		3q26.33	AMP	1	8	12.5%	No
CXADRP2		15q11.2	HOMDEL	1	8	12.5%	No
OR5K4		3q11.2	AMP	1	8	12.5%	No
NACAD		7p13	AMP	1	8	12.5%	No
MCM8-AS1		20p12.3	AMP	1	8	12.5%	No
GABBR2		9q22.33	AMP	1	8	12.5%	No
TNNC2		20q13.12	AMP	1	8	12.5%	No
ARHGAP31		3q13.32-q13.33	AMP	1	8	12.5%	No
C3ORF80		3q25.33	AMP	1	8	12.5%	No
CHST2		3q24	AMP	1	8	12.5%	No
SNORD107		15q11.2	AMP	1	8	12.5%	No
GRB7		17q12	AMP	1	8	12.5%	No
GDNF		5p13.2	AMP	1	8	12.5%	No
NCBP2		3q29	AMP	1	8	12.5%	No
NAA50		3q13.31	AMP	1	8	12.5%	No
C5ORF38		5p15.33	AMP	1	8	12.5%	No
CSN1S2BP		4q13.3	HOMDEL	1	8	12.5%	No
MUC13		3q21.2	AMP	1	8	12.5%	No
DNAAF1		16q24.1	HOMDEL	1	8	12.5%	No
ZBTB20-AS1		3q13.31	AMP	1	8	12.5%	No
ZNF735		7q11.21	AMP	1	8	12.5%	No
CCZ1B		7p22.1	AMP	1	8	12.5%	No
MDC1		6p21.33	AMP	1	8	12.5%	Yes
SNORD116-8		15q11.2	AMP	1	8	12.5%	No
RARA		17q21.2	AMP	1	8	12.5%	Yes
DNAJB11		3q27.3	AMP	1	8	12.5%	No
C16ORF78		16q12.1	HOMDEL	1	8	12.5%	No
ZDHHC19		3q29	AMP	1	8	12.5%	No
ZNF260		19q13.12	AMP	1	8	12.5%	No
MUC20		3q29	AMP	1	8	12.5%	No
CES4A		16q22.1	HOMDEL	1	8	12.5%	No
NDUFB5		3q26.33	AMP	1	8	12.5%	No
RAPGEFL1		17q21.1	AMP	1	8	12.5%	No
USP42		7p22.1	AMP	1	8	12.5%	No
ZFPM1		16q24.2	HOMDEL	1	8	12.5%	No
C9		5p13.1	AMP	1	8	12.5%	No
MRPL32		7p14.1	AMP	1	8	12.5%	No
ORMDL3		17q21.1	AMP	1	8	12.5%	No
CBLB		3q13.11	AMP	1	8	12.5%	Yes
