Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
ANAPC4	ANAPC4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	134	12%
FBXL19	FBXL19: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	133	12%
ASB8	ASB8: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	133	12%
CDK1	CDK1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	131	12%
CMAS	CMAS: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	129	12%
GPATCH1	GPATCH1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	129	12%
FBL	FBL: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	127	12%
CCNH	CCNH: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	127	12%
CACNA1E	CACNA1E: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	127	12%
FN1	FN1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	125	12%
CDC40	CDC40: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	125	12%
CPSF6	CPSF6: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	125	12%
COMMD7	COMMD7: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	125	12%
CHEK1	CHEK1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	123	11%
CDC20	CDC20: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	122	11%
COPS3	COPS3: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	122	11%
BET1	BET1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	122	11%
BAZ1B	BAZ1B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	122	11%
DDX23	DDX23: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	121	11%
CENPA	CENPA: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	121	11%
DDX41	DDX41: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	121	11%
DYNC1LI2	DYNC1LI2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	121	11%
GTF2H4	GTF2H4: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	120	11%
CEP131	CEP131: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	120	11%
BLM	BLM: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	119	11%
BMS1	BMS1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	119	11%
EIF3B	EIF3B: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	118	11%
HAUS5	HAUS5: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	118	11%
CCNF	CCNF: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	118	11%
CWC27	CWC27: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	118	11%
CUL2	CUL2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	117	11%
DCUN1D1	DCUN1D1: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	117	11%
EEF2	EEF2: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	116	11%
ELOB	ELOB: MUT FUSION AMP HOMDEL PROT>=2 PROT<=-2 EXP>=2 EXP<=-2;	116	11%
