Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
DYNC1H1	DYNC1H1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
AXL	AXL: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
FTSJ3	FTSJ3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
CAPZA3	CAPZA3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	24	5%
ARPC1A	ARPC1A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
ARRB1	ARRB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
CLTC	CLTC: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
ALMS1	ALMS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
ATR	ATR: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
EPO	EPO: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
CHD4	CHD4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
CUL1	CUL1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
H2AB1	H2AB1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
DCUN1D1	DCUN1D1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
FGF18	FGF18: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
ASB5	ASB5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
CACNA2D4	CACNA2D4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
FBXO27	FBXO27: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	23	4%
ACIN1	ACIN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
DCTN2	DCTN2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
DDX41	DDX41: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
FGF19	FGF19: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
ASB10	ASB10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
BCL9L	BCL9L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	22	4%
CPSF4	CPSF4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
CDC5L	CDC5L: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DDX5	DDX5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
BUD31	BUD31: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
DHX16	DHX16: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
ACTL6A	ACTL6A: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
GPS1	GPS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
GFM1	GFM1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
FXR1	FXR1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
CWC25	CWC25: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
FRG1	FRG1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
CATSPERG	CATSPERG: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	21	4%
CTTN	CTTN: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
H3-3B	H3-3B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
GNA13	GNA13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
ANK3	ANK3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	20	4%
